Series_Title,Released_Year,Genre,IMDB_Rating,Overview,Meta_score,Director,Star1,Star2,Star3,soup
the shawshank redemption,1994,Drama,9.3,two imprisoned men bond over a number of years finding solace and eventual redemption through acts of common decency,80.0,frankdarabont,timrobbins,morganfreeman,bobgunton,the shawshank redemption drama frankdarabont timrobbins morganfreeman bobgunton two imprisoned men bond over a number of years finding solace and eventual redemption through acts of common decency
the godfather,1972,"Crime, Drama",9.2,an organized crime dynasty's aging patriarch transfers control of his clandestine empire to his reluctant son,100.0,francisfordcoppola,marlonbrando,alpacino,jamescaan,the godfather crime drama francisfordcoppola marlonbrando alpacino jamescaan an organized crime dynasty's aging patriarch transfers control of his clandestine empire to his reluctant son
the dark knight,2008,"Action, Crime, Drama",9.0,when the menace known as the joker wreaks havoc and chaos on the people of gotham batman must accept one of the greatest psychological and physical tests of his ability to fight injustice,84.0,christophernolan,christianbale,heathledger,aaroneckhart,the dark knight action crime drama christophernolan christianbale heathledger aaroneckhart when the menace known as the joker wreaks havoc and chaos on the people of gotham batman must accept one of the greatest psychological and physical tests of his ability to fight injustice
the godfather: part ii,1974,"Crime, Drama",9.0,the early life and career of vito corleone in 1920s new york city is portrayed while his son michael expands and tightens his grip on the family crime syndicate,90.0,francisfordcoppola,alpacino,robertdeniro,robertduvall,the godfather: part ii crime drama francisfordcoppola alpacino robertdeniro robertduvall the early life and career of vito corleone in 1920s new york city is portrayed while his son michael expands and tightens his grip on the family crime syndicate
12 angry men,1957,"Crime, Drama",9.0,a jury holdout attempts to prevent a miscarriage of justice by forcing his colleagues to reconsider the evidence,96.0,sidneylumet,henryfonda,leejcobb,martinbalsam,12 angry men crime drama sidneylumet henryfonda leejcobb martinbalsam a jury holdout attempts to prevent a miscarriage of justice by forcing his colleagues to reconsider the evidence
the lord of the rings: the return of the king,2003,"Action, Adventure, Drama",8.9,gandalf and aragorn lead the world of men against sauron's army to draw his gaze from frodo and sam as they approach mount doom with the one ring,94.0,peterjackson,elijahwood,viggomortensen,ianmckellen,the lord of the rings: the return of the king action adventure drama peterjackson elijahwood viggomortensen ianmckellen gandalf and aragorn lead the world of men against sauron's army to draw his gaze from frodo and sam as they approach mount doom with the one ring
pulp fiction,1994,"Crime, Drama",8.9,the lives of two mob hitmen a boxer a gangster and his wife and a pair of diner bandits intertwine in four tales of violence and redemption,94.0,quentintarantino,johntravolta,umathurman,samuelljackson,pulp fiction crime drama quentintarantino johntravolta umathurman samuelljackson the lives of two mob hitmen a boxer a gangster and his wife and a pair of diner bandits intertwine in four tales of violence and redemption
schindler's list,1993,"Biography, Drama, History",8.9,in german-occupied poland during world war ii industrialist oskar schindler gradually becomes concerned for his jewish workforce after witnessing their persecution by the nazis,94.0,stevenspielberg,liamneeson,ralphfiennes,benkingsley,schindler's list biography drama history stevenspielberg liamneeson ralphfiennes benkingsley in german-occupied poland during world war ii industrialist oskar schindler gradually becomes concerned for his jewish workforce after witnessing their persecution by the nazis
inception,2010,"Action, Adventure, Sci-Fi",8.8,a thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a ceo,74.0,christophernolan,leonardodicaprio,josephgordon-levitt,elliotpage,inception action adventure sci-fi christophernolan leonardodicaprio josephgordon-levitt elliotpage a thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a ceo
fight club,1999,Drama,8.8,an insomniac office worker and a devil-may-care soapmaker form an underground fight club that evolves into something much much more,66.0,davidfincher,bradpitt,edwardnorton,meatloaf,fight club drama davidfincher bradpitt edwardnorton meatloaf an insomniac office worker and a devil-may-care soapmaker form an underground fight club that evolves into something much much more
the lord of the rings: the fellowship of the ring,2001,"Action, Adventure, Drama",8.8,a meek hobbit from the shire and eight companions set out on a journey to destroy the powerful one ring and save middle-earth from the dark lord sauron,92.0,peterjackson,elijahwood,ianmckellen,orlandobloom,the lord of the rings: the fellowship of the ring action adventure drama peterjackson elijahwood ianmckellen orlandobloom a meek hobbit from the shire and eight companions set out on a journey to destroy the powerful one ring and save middle-earth from the dark lord sauron
forrest gump,1994,"Drama, Romance",8.8,the presidencies of kennedy and johnson the events of vietnam watergate and other historical events unfold through the perspective of an alabama man with an iq of 75 whose only desire is to be reunited with his childhood sweetheart,82.0,robertzemeckis,tomhanks,robinwright,garysinise,forrest gump drama romance robertzemeckis tomhanks robinwright garysinise the presidencies of kennedy and johnson the events of vietnam watergate and other historical events unfold through the perspective of an alabama man with an iq of 75 whose only desire is to be reunited with his childhood sweetheart
"il buono, il brutto, il cattivo",1966,Western,8.8,a bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery,90.0,sergioleone,clinteastwood,eliwallach,leevancleef,il buono il brutto il cattivo western sergioleone clinteastwood eliwallach leevancleef a bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery
the lord of the rings: the two towers,2002,"Action, Adventure, Drama",8.7,while frodo and sam edge closer to mordor with the help of the shifty gollum the divided fellowship makes a stand against sauron's new ally saruman and his hordes of isengard,87.0,peterjackson,elijahwood,ianmckellen,viggomortensen,the lord of the rings: the two towers action adventure drama peterjackson elijahwood ianmckellen viggomortensen while frodo and sam edge closer to mordor with the help of the shifty gollum the divided fellowship makes a stand against sauron's new ally saruman and his hordes of isengard
the matrix,1999,"Action, Sci-Fi",8.7,when a beautiful stranger leads computer hacker neo to a forbidding underworld he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence,73.0,lanawachowski,lillywachowski,keanureeves,laurencefishburne,the matrix action sci-fi lanawachowski lillywachowski keanureeves laurencefishburne when a beautiful stranger leads computer hacker neo to a forbidding underworld he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence
goodfellas,1990,"Biography, Crime, Drama",8.7,the story of henry hill and his life in the mob covering his relationship with his wife karen hill and his mob partners jimmy conway and tommy devito in the italian-american crime syndicate,90.0,martinscorsese,robertdeniro,rayliotta,joepesci,goodfellas biography crime drama martinscorsese robertdeniro rayliotta joepesci the story of henry hill and his life in the mob covering his relationship with his wife karen hill and his mob partners jimmy conway and tommy devito in the italian-american crime syndicate
star wars: episode v - the empire strikes back,1980,"Action, Adventure, Fantasy",8.7,after the rebels are brutally overpowered by the empire on the ice planet hoth luke skywalker begins jedi training with yoda while his friends are pursued by darth vader and a bounty hunter named boba fett all over the galaxy,82.0,irvinkershner,markhamill,harrisonford,carriefisher,star wars: episode v - the empire strikes back action adventure fantasy irvinkershner markhamill harrisonford carriefisher after the rebels are brutally overpowered by the empire on the ice planet hoth luke skywalker begins jedi training with yoda while his friends are pursued by darth vader and a bounty hunter named boba fett all over the galaxy
one flew over the cuckoo's nest,1975,Drama,8.7,a criminal pleads insanity and is admitted to a mental institution where he rebels against the oppressive nurse and rallies up the scared patients,83.0,milosforman,jacknicholson,louisefletcher,michaelberryman,one flew over the cuckoo's nest drama milosforman jacknicholson louisefletcher michaelberryman a criminal pleads insanity and is admitted to a mental institution where he rebels against the oppressive nurse and rallies up the scared patients
hamilton,2020,"Biography, Drama, History",8.6,the real life of one of america's foremost founding fathers and first secretary of the treasury alexander hamilton captured live on broadway from the richard rodgers theater with the original broadway cast,90.0,thomaskail,lin-manuelmiranda,phillipasoo,leslieodomjr,hamilton biography drama history thomaskail lin-manuelmiranda phillipasoo leslieodomjr the real life of one of america's foremost founding fathers and first secretary of the treasury alexander hamilton captured live on broadway from the richard rodgers theater with the original broadway cast
gisaengchung,2019,"Comedy, Drama, Thriller",8.6,greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy park family and the destitute kim clan,96.0,bongjoonho,kang-hosong,leesun-kyun,choyeo-jeong,gisaengchung comedy drama thriller bongjoonho kang-hosong leesun-kyun choyeo-jeong greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy park family and the destitute kim clan
soorarai pottru,2020,Drama,8.6,"nedumaaran rajangam ""maara"" sets out to make the common man fly and in the process takes on the world's most capital intensive industry and several enemies who stand in his way",78.0,sudhakongara,suriya,madhavan,pareshrawal,"soorarai pottru drama sudhakongara suriya madhavan pareshrawal nedumaaran rajangam ""maara"" sets out to make the common man fly and in the process takes on the world's most capital intensive industry and several enemies who stand in his way"
interstellar,2014,"Adventure, Drama, Sci-Fi",8.6,a team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival,74.0,christophernolan,matthewmcconaughey,annehathaway,jessicachastain,interstellar adventure drama sci-fi christophernolan matthewmcconaughey annehathaway jessicachastain a team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival
cidade de deus,2002,"Crime, Drama",8.6,in the slums of rio two kids' paths diverge as one struggles to become a photographer and the other a kingpin,79.0,fernandomeirelles,kátialund,alexandrerodrigues,leandrofirmino,cidade de deus crime drama fernandomeirelles kátialund alexandrerodrigues leandrofirmino in the slums of rio two kids' paths diverge as one struggles to become a photographer and the other a kingpin
sen to chihiro no kamikakushi,2001,"Animation, Adventure, Family",8.6,during her family's move to the suburbs a sullen 10-year-old girl wanders into a world ruled by gods witches and spirits and where humans are changed into beasts,96.0,hayaomiyazaki,daveighchase,suzannepleshette,miyuirino,sen to chihiro no kamikakushi animation adventure family hayaomiyazaki daveighchase suzannepleshette miyuirino during her family's move to the suburbs a sullen 10-year-old girl wanders into a world ruled by gods witches and spirits and where humans are changed into beasts
saving private ryan,1998,"Drama, War",8.6,following the normandy landings a group of us soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action,91.0,stevenspielberg,tomhanks,mattdamon,tomsizemore,saving private ryan drama war stevenspielberg tomhanks mattdamon tomsizemore following the normandy landings a group of us soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action
the green mile,1999,"Crime, Drama, Fantasy",8.6,the lives of guards on death row are affected by one of their charges: a black man accused of child murder and rape yet who has a mysterious gift,61.0,frankdarabont,tomhanks,michaelclarkeduncan,davidmorse,the green mile crime drama fantasy frankdarabont tomhanks michaelclarkeduncan davidmorse the lives of guards on death row are affected by one of their charges: a black man accused of child murder and rape yet who has a mysterious gift
la vita è bella,1997,"Comedy, Drama, Romance",8.6,when an open-minded jewish librarian and his son become victims of the holocaust he uses a perfect mixture of will humor and imagination to protect his son from the dangers around their camp,59.0,robertobenigni,robertobenigni,nicolettabraschi,giorgiocantarini,la vita è bella comedy drama romance robertobenigni robertobenigni nicolettabraschi giorgiocantarini when an open-minded jewish librarian and his son become victims of the holocaust he uses a perfect mixture of will humor and imagination to protect his son from the dangers around their camp
se7en,1995,"Crime, Drama, Mystery",8.6,two detectives a rookie and a veteran hunt a serial killer who uses the seven deadly sins as his motives,65.0,davidfincher,morganfreeman,bradpitt,kevinspacey,se7en crime drama mystery davidfincher morganfreeman bradpitt kevinspacey two detectives a rookie and a veteran hunt a serial killer who uses the seven deadly sins as his motives
the silence of the lambs,1991,"Crime, Drama, Thriller",8.6,a young fbi cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer a madman who skins his victims,85.0,jonathandemme,jodiefoster,anthonyhopkins,lawrenceabonney,the silence of the lambs crime drama thriller jonathandemme jodiefoster anthonyhopkins lawrenceabonney a young fbi cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer a madman who skins his victims
star wars: episode iv - a new hope,1977,"Action, Adventure, Fantasy",8.6,luke skywalker joins forces with a jedi knight a cocky pilot a wookiee and two droids to save the galaxy from the empire's world-destroying battle station while also attempting to rescue princess leia from the mysterious darth vader,90.0,georgelucas,markhamill,harrisonford,carriefisher,star wars: episode iv - a new hope action adventure fantasy georgelucas markhamill harrisonford carriefisher luke skywalker joins forces with a jedi knight a cocky pilot a wookiee and two droids to save the galaxy from the empire's world-destroying battle station while also attempting to rescue princess leia from the mysterious darth vader
seppuku,1962,"Action, Drama, Mystery",8.6,when a ronin requesting seppuku at a feudal lord's palace is told of the brutal suicide of another ronin who previously visited he reveals how their pasts are intertwined - and in doing so challenges the clan's integrity,85.0,masakikobayashi,tatsuyanakadai,akiraishihama,shimaiwashita,seppuku action drama mystery masakikobayashi tatsuyanakadai akiraishihama shimaiwashita when a ronin requesting seppuku at a feudal lord's palace is told of the brutal suicide of another ronin who previously visited he reveals how their pasts are intertwined - and in doing so challenges the clan's integrity
shichinin no samurai,1954,"Action, Adventure, Drama",8.6,a poor village under attack by bandits recruits seven unemployed samurai to help them defend themselves,98.0,akirakurosawa,toshirômifune,takashishimura,keikotsushima,shichinin no samurai action adventure drama akirakurosawa toshirômifune takashishimura keikotsushima a poor village under attack by bandits recruits seven unemployed samurai to help them defend themselves
it's a wonderful life,1946,"Drama, Family, Fantasy",8.6,an angel is sent from heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed,89.0,frankcapra,jamesstewart,donnareed,lionelbarrymore,it's a wonderful life drama family fantasy frankcapra jamesstewart donnareed lionelbarrymore an angel is sent from heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed
joker,2019,"Crime, Drama, Thriller",8.5,in gotham city mentally troubled comedian arthur fleck is disregarded and mistreated by society he then embarks on a downward spiral of revolution and bloody crime this path brings him face-to-face with his alter-ego: the joker,59.0,toddphillips,joaquinphoenix,robertdeniro,zaziebeetz,joker crime drama thriller toddphillips joaquinphoenix robertdeniro zaziebeetz in gotham city mentally troubled comedian arthur fleck is disregarded and mistreated by society he then embarks on a downward spiral of revolution and bloody crime this path brings him face-to-face with his alter-ego: the joker
whiplash,2014,"Drama, Music",8.5,a promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential,88.0,damienchazelle,milesteller,jksimmons,melissabenoist,whiplash drama music damienchazelle milesteller jksimmons melissabenoist a promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential
the intouchables,2011,"Biography, Comedy, Drama",8.5,after he becomes a quadriplegic from a paragliding accident an aristocrat hires a young man from the projects to be his caregiver,57.0,oliviernakache,érictoledano,françoiscluzet,omarsy,the intouchables biography comedy drama oliviernakache érictoledano françoiscluzet omarsy after he becomes a quadriplegic from a paragliding accident an aristocrat hires a young man from the projects to be his caregiver
the prestige,2006,"Drama, Mystery, Sci-Fi",8.5,after a tragic accident two stage magicians engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other,66.0,christophernolan,christianbale,hughjackman,scarlettjohansson,the prestige drama mystery sci-fi christophernolan christianbale hughjackman scarlettjohansson after a tragic accident two stage magicians engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other
the departed,2006,"Crime, Drama, Thriller",8.5,an undercover cop and a mole in the police attempt to identify each other while infiltrating an irish gang in south boston,85.0,martinscorsese,leonardodicaprio,mattdamon,jacknicholson,the departed crime drama thriller martinscorsese leonardodicaprio mattdamon jacknicholson an undercover cop and a mole in the police attempt to identify each other while infiltrating an irish gang in south boston
the pianist,2002,"Biography, Drama, Music",8.5,a polish jewish musician struggles to survive the destruction of the warsaw ghetto of world war ii,85.0,romanpolanski,adrienbrody,thomaskretschmann,frankfinlay,the pianist biography drama music romanpolanski adrienbrody thomaskretschmann frankfinlay a polish jewish musician struggles to survive the destruction of the warsaw ghetto of world war ii
gladiator,2000,"Action, Adventure, Drama",8.5,a former roman general sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery,67.0,ridleyscott,russellcrowe,joaquinphoenix,connienielsen,gladiator action adventure drama ridleyscott russellcrowe joaquinphoenix connienielsen a former roman general sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery
american history x,1998,Drama,8.5,a former neo-nazi skinhead tries to prevent his younger brother from going down the same wrong path that he did,62.0,tonykaye,edwardnorton,edwardfurlong,beverlyd'angelo,american history x drama tonykaye edwardnorton edwardfurlong beverlyd'angelo a former neo-nazi skinhead tries to prevent his younger brother from going down the same wrong path that he did
the usual suspects,1995,"Crime, Mystery, Thriller",8.5,a sole survivor tells of the twisty events leading up to a horrific gun battle on a boat which began when five criminals met at a seemingly random police lineup,77.0,bryansinger,kevinspacey,gabrielbyrne,chazzpalminteri,the usual suspects crime mystery thriller bryansinger kevinspacey gabrielbyrne chazzpalminteri a sole survivor tells of the twisty events leading up to a horrific gun battle on a boat which began when five criminals met at a seemingly random police lineup
léon,1994,"Action, Crime, Drama",8.5,mathilda a 12-year-old girl is reluctantly taken in by léon a professional assassin after her family is murdered an unusual relationship forms as she becomes his protégée and learns the assassin's trade,64.0,lucbesson,jeanreno,garyoldman,natalieportman,léon action crime drama lucbesson jeanreno garyoldman natalieportman mathilda a 12-year-old girl is reluctantly taken in by léon a professional assassin after her family is murdered an unusual relationship forms as she becomes his protégée and learns the assassin's trade
the lion king,1994,"Animation, Adventure, Drama",8.5,lion prince simba and his father are targeted by his bitter uncle who wants to ascend the throne himself,88.0,rogerallers,robminkoff,matthewbroderick,jeremyirons,the lion king animation adventure drama rogerallers robminkoff matthewbroderick jeremyirons lion prince simba and his father are targeted by his bitter uncle who wants to ascend the throne himself
terminator 2: judgment day,1991,"Action, Sci-Fi",8.5,a cyborg identical to the one who failed to kill sarah connor must now protect her teenage son john connor from a more advanced and powerful cyborg,75.0,jamescameron,arnoldschwarzenegger,lindahamilton,edwardfurlong,terminator 2: judgment day action sci-fi jamescameron arnoldschwarzenegger lindahamilton edwardfurlong a cyborg identical to the one who failed to kill sarah connor must now protect her teenage son john connor from a more advanced and powerful cyborg
nuovo cinema paradiso,1988,"Drama, Romance",8.5,a filmmaker recalls his childhood when falling in love with the pictures at the cinema of his home village and forms a deep friendship with the cinema's projectionist,80.0,giuseppetornatore,philippenoiret,enzocannavale,antonellaattili,nuovo cinema paradiso drama romance giuseppetornatore philippenoiret enzocannavale antonellaattili a filmmaker recalls his childhood when falling in love with the pictures at the cinema of his home village and forms a deep friendship with the cinema's projectionist
hotaru no haka,1988,"Animation, Drama, War",8.5,a young boy and his little sister struggle to survive in japan during world war ii,94.0,isaotakahata,tsutomutatsumi,ayanoshiraishi,akemiyamaguchi,hotaru no haka animation drama war isaotakahata tsutomutatsumi ayanoshiraishi akemiyamaguchi a young boy and his little sister struggle to survive in japan during world war ii
back to the future,1985,"Adventure, Comedy, Sci-Fi",8.5,marty mcfly a 17-year-old high school student is accidentally sent thirty years into the past in a time-traveling delorean invented by his close friend the eccentric scientist doc brown,87.0,robertzemeckis,michaeljfox,christopherlloyd,leathompson,back to the future adventure comedy sci-fi robertzemeckis michaeljfox christopherlloyd leathompson marty mcfly a 17-year-old high school student is accidentally sent thirty years into the past in a time-traveling delorean invented by his close friend the eccentric scientist doc brown
once upon a time in the west,1968,Western,8.5,a mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad,80.0,sergioleone,henryfonda,charlesbronson,claudiacardinale,once upon a time in the west western sergioleone henryfonda charlesbronson claudiacardinale a mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad
psycho,1960,"Horror, Mystery, Thriller",8.5,a phoenix secretary embezzles $40000 from her employer's client goes on the run and checks into a remote motel run by a young man under the domination of his mother,97.0,alfredhitchcock,anthonyperkins,janetleigh,veramiles,psycho horror mystery thriller alfredhitchcock anthonyperkins janetleigh veramiles a phoenix secretary embezzles $40000 from her employer's client goes on the run and checks into a remote motel run by a young man under the domination of his mother
casablanca,1942,"Drama, Romance, War",8.5,a cynical expatriate american cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the nazis in french morocco,100.0,michaelcurtiz,humphreybogart,ingridbergman,paulhenreid,casablanca drama romance war michaelcurtiz humphreybogart ingridbergman paulhenreid a cynical expatriate american cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the nazis in french morocco
modern times,1936,"Comedy, Drama, Family",8.5,the tramp struggles to live in modern industrial society with the help of a young homeless woman,96.0,charleschaplin,charleschaplin,paulettegoddard,henrybergman,modern times comedy drama family charleschaplin charleschaplin paulettegoddard henrybergman the tramp struggles to live in modern industrial society with the help of a young homeless woman
city lights,1931,"Comedy, Drama, Romance",8.5,with the aid of a wealthy erratic tippler a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically,99.0,charleschaplin,charleschaplin,virginiacherrill,florencelee,city lights comedy drama romance charleschaplin charleschaplin virginiacherrill florencelee with the aid of a wealthy erratic tippler a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically
capharnaüm,2018,Drama,8.4,while serving a five-year sentence for a violent crime a 12-year-old boy sues his parents for neglect,75.0,nadinelabaki,zainalrafeea,yordanosshiferaw,boluwatifetreasurebankole,capharnaüm drama nadinelabaki zainalrafeea yordanosshiferaw boluwatifetreasurebankole while serving a five-year sentence for a violent crime a 12-year-old boy sues his parents for neglect
ayla: the daughter of war,2017,"Biography, Drama, History",8.4,in 1950 amid-st the ravages of the korean war sergeant süleyman stumbles upon a half-frozen little girl with no parents and no help in sight frantic scared and on the verge of death                 see full summary »,78.0,canulkay,erdemcan,çetintekindor,ismailhacioglu,ayla: the daughter of war biography drama history canulkay erdemcan çetintekindor ismailhacioglu in 1950 amid-st the ravages of the korean war sergeant süleyman stumbles upon a half-frozen little girl with no parents and no help in sight frantic scared and on the verge of death                 see full summary »
vikram vedha,2017,"Action, Crime, Drama",8.4,vikram a no-nonsense police officer accompanied by simon his partner is on the hunt to capture vedha a smuggler and a murderer vedha tries to change vikram's life which leads to a conflict,78.0,gayatri,pushkar,madhavan,vijaysethupathi,vikram vedha action crime drama gayatri pushkar madhavan vijaysethupathi vikram a no-nonsense police officer accompanied by simon his partner is on the hunt to capture vedha a smuggler and a murderer vedha tries to change vikram's life which leads to a conflict
kimi no na wa.,2016,"Animation, Drama, Fantasy",8.4,two strangers find themselves linked in a bizarre way when a connection forms will distance be the only thing to keep them apart?,79.0,makotoshinkai,ryûnosukekamiki,monekamishiraishi,ryônarita,kimi no na wa animation drama fantasy makotoshinkai ryûnosukekamiki monekamishiraishi ryônarita two strangers find themselves linked in a bizarre way when a connection forms will distance be the only thing to keep them apart?
dangal,2016,"Action, Biography, Drama",8.4,former wrestler mahavir singh phogat and his two wrestler daughters struggle towards glory at the commonwealth games in the face of societal oppression,78.0,niteshtiwari,aamirkhan,sakshitanwar,fatimasanashaikh,dangal action biography drama niteshtiwari aamirkhan sakshitanwar fatimasanashaikh former wrestler mahavir singh phogat and his two wrestler daughters struggle towards glory at the commonwealth games in the face of societal oppression
spider-man: into the spider-verse,2018,"Animation, Action, Adventure",8.4,teen miles morales becomes the spider-man of his universe and must join with five spider-powered individuals from other dimensions to stop a threat for all realities,87.0,bobpersichetti,peterramsey,rodneyrothman,shameikmoore,spider-man: into the spider-verse animation action adventure bobpersichetti peterramsey rodneyrothman shameikmoore teen miles morales becomes the spider-man of his universe and must join with five spider-powered individuals from other dimensions to stop a threat for all realities
avengers: endgame,2019,"Action, Adventure, Drama",8.4,after the devastating events of avengers: infinity war (2018) the universe is in ruins with the help of remaining allies the avengers assemble once more in order to reverse thanos' actions and restore balance to the universe,78.0,anthonyrusso,joerusso,robertdowneyjr,chrisevans,avengers: endgame action adventure drama anthonyrusso joerusso robertdowneyjr chrisevans after the devastating events of avengers: infinity war (2018) the universe is in ruins with the help of remaining allies the avengers assemble once more in order to reverse thanos' actions and restore balance to the universe
avengers: infinity war,2018,"Action, Adventure, Sci-Fi",8.4,the avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful thanos before his blitz of devastation and ruin puts an end to the universe,68.0,anthonyrusso,joerusso,robertdowneyjr,chrishemsworth,avengers: infinity war action adventure sci-fi anthonyrusso joerusso robertdowneyjr chrishemsworth the avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful thanos before his blitz of devastation and ruin puts an end to the universe
coco,2017,"Animation, Adventure, Family",8.4,aspiring musician miguel confronted with his family's ancestral ban on music enters the land of the dead to find his great-great-grandfather a legendary singer,81.0,leeunkrich,adrianmolina,anthonygonzalez,gaelgarcíabernal,coco animation adventure family leeunkrich adrianmolina anthonygonzalez gaelgarcíabernal aspiring musician miguel confronted with his family's ancestral ban on music enters the land of the dead to find his great-great-grandfather a legendary singer
django unchained,2012,"Drama, Western",8.4,with the help of a german bounty hunter a freed slave sets out to rescue his wife from a brutal mississippi plantation owner,81.0,quentintarantino,jamiefoxx,christophwaltz,leonardodicaprio,django unchained drama western quentintarantino jamiefoxx christophwaltz leonardodicaprio with the help of a german bounty hunter a freed slave sets out to rescue his wife from a brutal mississippi plantation owner
the dark knight rises,2012,"Action, Adventure",8.4,eight years after the joker's reign of anarchy batman with the help of the enigmatic catwoman is forced from his exile to save gotham city from the brutal guerrilla terrorist bane,78.0,christophernolan,christianbale,tomhardy,annehathaway,the dark knight rises action adventure christophernolan christianbale tomhardy annehathaway eight years after the joker's reign of anarchy batman with the help of the enigmatic catwoman is forced from his exile to save gotham city from the brutal guerrilla terrorist bane
3 idiots,2009,"Comedy, Drama",8.4,"two friends are searching for their long lost companion they revisit their college days and recall the memories of their friend who inspired them to think differently even as the rest of the world called them ""idiots""",67.0,rajkumarhirani,aamirkhan,madhavan,monasingh,"3 idiots comedy drama rajkumarhirani aamirkhan madhavan monasingh two friends are searching for their long lost companion they revisit their college days and recall the memories of their friend who inspired them to think differently even as the rest of the world called them ""idiots"""
taare zameen par,2007,"Drama, Family",8.4,an eight-year-old boy is thought to be a lazy trouble-maker until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school,78.0,aamirkhan,amolegupte,darsheelsafary,aamirkhan,taare zameen par drama family aamirkhan amolegupte darsheelsafary aamirkhan an eight-year-old boy is thought to be a lazy trouble-maker until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school
wall·e,2008,"Animation, Adventure, Family",8.4,in the distant future a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind,95.0,andrewstanton,benburtt,elissaknight,jeffgarlin,wall·e animation adventure family andrewstanton benburtt elissaknight jeffgarlin in the distant future a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind
the lives of others,2006,"Drama, Mystery, Thriller",8.4,in 1984 east berlin an agent of the secret police conducting surveillance on a writer and his lover finds himself becoming increasingly absorbed by their lives,89.0,florianhenckelvondonnersmarck,ulrichmühe,martinagedeck,sebastiankoch,the lives of others drama mystery thriller florianhenckelvondonnersmarck ulrichmühe martinagedeck sebastiankoch in 1984 east berlin an agent of the secret police conducting surveillance on a writer and his lover finds himself becoming increasingly absorbed by their lives
oldeuboi,2003,"Action, Drama, Mystery",8.4,after being kidnapped and imprisoned for fifteen years oh dae-su is released only to find that he must find his captor in five days,77.0,chan-wookpark,choimin-sik,yooji-tae,kanghye-jeong,oldeuboi action drama mystery chan-wookpark choimin-sik yooji-tae kanghye-jeong after being kidnapped and imprisoned for fifteen years oh dae-su is released only to find that he must find his captor in five days
memento,2000,"Mystery, Thriller",8.4,a man with short-term memory loss attempts to track down his wife's murderer,80.0,christophernolan,guypearce,carrie-annemoss,joepantoliano,memento mystery thriller christophernolan guypearce carrie-annemoss joepantoliano a man with short-term memory loss attempts to track down his wife's murderer
mononoke-hime,1997,"Animation, Action, Adventure",8.4,on a journey to find the cure for a tatarigami's curse ashitaka finds himself in the middle of a war between the forest gods and tatara a mining colony in this quest he also meets san the mononoke hime,76.0,hayaomiyazaki,yôjimatsuda,yurikoishida,yûkotanaka,mononoke-hime animation action adventure hayaomiyazaki yôjimatsuda yurikoishida yûkotanaka on a journey to find the cure for a tatarigami's curse ashitaka finds himself in the middle of a war between the forest gods and tatara a mining colony in this quest he also meets san the mononoke hime
