Series_Title,Released_Year,Genre,IMDB_Rating,Overview,Meta_score,Director,Star1,Star2,Star3,soup
rebel without a cause,1955,Drama,7.7,a rebellious young man with a troubled past comes to a new town finding friends and enemies,89.0,nicholasray,jamesdean,nataliewood,salmineo,rebel without a cause drama nicholasray jamesdean nataliewood salmineo a rebellious young man with a troubled past comes to a new town finding friends and enemies
the ladykillers,1955,"Comedy, Crime",7.7,five oddball criminals planning a bank robbery rent rooms on a cul-de-sac from an octogenarian widow under the pretext that they are classical musicians,91.0,alexandermackendrick,alecguinness,petersellers,cecilparker,the ladykillers comedy crime alexandermackendrick alecguinness petersellers cecilparker five oddball criminals planning a bank robbery rent rooms on a cul-de-sac from an octogenarian widow under the pretext that they are classical musicians
sabrina,1954,"Comedy, Drama, Romance",7.7,a playboy becomes interested in the daughter of his family's chauffeur but it's his more serious brother who would be the better man for her,72.0,billywilder,humphreybogart,audreyhepburn,williamholden,sabrina comedy drama romance billywilder humphreybogart audreyhepburn williamholden a playboy becomes interested in the daughter of his family's chauffeur but it's his more serious brother who would be the better man for her
the quiet man,1952,"Comedy, Drama, Romance",7.7,a retired american boxer returns to the village of his birth in ireland where he falls for a spirited redhead whose brother is contemptuous of their union,78.0,johnford,johnwayne,maureeno'hara,barryfitzgerald,the quiet man comedy drama romance johnford johnwayne maureeno'hara barryfitzgerald a retired american boxer returns to the village of his birth in ireland where he falls for a spirited redhead whose brother is contemptuous of their union
the day the earth stood still,1951,"Drama, Sci-Fi",7.7,an alien lands and tells the people of earth that they must live peacefully or be destroyed as a danger to other planets,78.0,robertwise,michaelrennie,patricianeal,hughmarlowe,the day the earth stood still drama sci-fi robertwise michaelrennie patricianeal hughmarlowe an alien lands and tells the people of earth that they must live peacefully or be destroyed as a danger to other planets
the african queen,1951,"Adventure, Drama, Romance",7.7,in wwi africa a gin-swilling riverboat captain is persuaded by a strait-laced missionary to use his boat to attack an enemy warship,91.0,johnhuston,humphreybogart,katharinehepburn,robertmorley,the african queen adventure drama romance johnhuston humphreybogart katharinehepburn robertmorley in wwi africa a gin-swilling riverboat captain is persuaded by a strait-laced missionary to use his boat to attack an enemy warship
gilda,1946,"Drama, Film-Noir, Romance",7.7,a small-time gambler hired to work in a buenos aires casino discovers his employer's new wife is his former lover,78.0,charlesvidor,ritahayworth,glennford,georgemacready,gilda drama film-noir romance charlesvidor ritahayworth glennford georgemacready a small-time gambler hired to work in a buenos aires casino discovers his employer's new wife is his former lover
fantasia,1940,"Animation, Family, Fantasy",7.7,a collection of animated interpretations of great works of western classical music,96.0,jamesalgar,samuelarmstrong,fordbeebejr,normanferguson,fantasia animation family fantasy jamesalgar samuelarmstrong fordbeebejr normanferguson a collection of animated interpretations of great works of western classical music
the invisible man,1933,"Horror, Sci-Fi",7.7,a scientist finds a way of becoming invisible but in doing so he becomes murderously insane,87.0,jameswhale,clauderains,gloriastuart,williamharrigan,the invisible man horror sci-fi jameswhale clauderains gloriastuart williamharrigan a scientist finds a way of becoming invisible but in doing so he becomes murderously insane
dark waters,2019,"Biography, Drama, History",7.6,a corporate defense attorney takes on an environmental lawsuit against a chemical company that exposes a lengthy history of pollution,73.0,toddhaynes,markruffalo,annehathaway,timrobbins,dark waters biography drama history toddhaynes markruffalo annehathaway timrobbins a corporate defense attorney takes on an environmental lawsuit against a chemical company that exposes a lengthy history of pollution
